Logging Data Com 9
2024-05-04_04-35-182024-05-04 04:35:19,Neo6M GPS module test code
2024-05-04 04:36:45,No Connection
2024-05-04 04:36:45,Battery Voltage = 3.28V
2024-05-04 04:36:46,No Connection
2024-05-04 04:36:46,Battery Voltage = 3.27V
2024-05-04 04:36:46,No Connection
2024-05-04 04:36:46,Battery Voltage = 3.27V
2024-05-04 04:36:47,No Connection
2024-05-04 04:36:47,Battery Voltage = 3.28V
2024-05-04 04:36:47,No Connection
2024-05-04 04:36:47,Battery Voltage = 3.29V
2024-05-04 04:36:47,No Connection
2024-05-04 04:36:47,Battery Voltage = 3.29V
2024-05-04 04:36:48,No Connection
2024-05-04 04:36:48,Battery Voltage = 3.28V
2024-05-04 04:36:48,No Connection
2024-05-04 04:36:48,Battery Voltage = 3.29V
2024-05-04 04:36:49,No Connection
2024-05-04 04:36:49,Battery Voltage = 3.27V
2024-05-04 04:36:49,No Connection
2024-05-04 04:36:49,Battery Voltage = 3.29V
2024-05-04 04:36:50,No Connection
2024-05-04 04:36:50,Battery Voltage = 3.27V
2024-05-04 04:36:50,No Connection
2024-05-04 04:36:50,Battery Voltage = 3.27V
2024-05-04 04:36:51,No Connection
2024-05-04 04:36:51,Battery Voltage = 3.28V
2024-05-04 04:36:51,No Connection
2024-05-04 04:36:51,Battery Voltage = 3.26V
2024-05-04 04:36:52,No Connection
2024-05-04 04:36:52,Battery Voltage = 3.29V
2024-05-04 04:36:52,No Connection
2024-05-04 04:36:52,Battery Voltage = 3.29V
2024-05-04 04:36:52,No Connection
2024-05-04 04:36:52,Battery Voltage = 3.28V
2024-05-04 04:36:53,No Connection
2024-05-04 04:36:53,Battery Voltage = 3.28V
2024-05-04 04:36:53,No Connection
2024-05-04 04:36:53,Battery Voltage = 3.26V
2024-05-04 04:36:54,No Connection
2024-05-04 04:36:54,Battery Voltage = 3.27V
2024-05-04 04:36:54,No Connection
2024-05-04 04:36:54,Battery Voltage = 3.27V
2024-05-04 04:36:55,No Connection
2024-05-04 04:36:55,Battery Voltage = 3.28V
2024-05-04 04:36:55,No Connection
2024-05-04 04:36:55,Battery Voltage = 3.29V
2024-05-04 04:36:56,No Connection
2024-05-04 04:36:56,Battery Voltage = 3.28V
2024-05-04 04:36:56,No Connection
2024-05-04 04:36:56,Battery Voltage = 3.29V
2024-05-04 04:36:57,No Connection
2024-05-04 04:36:57,Battery Voltage = 3.28V
2024-05-04 04:36:57,No Connection
2024-05-04 04:36:57,Battery Voltage = 3.29V
2024-05-04 04:36:58,No Connection
2024-05-04 04:36:58,Battery Voltage = 3.28V
2024-05-04 04:36:58,No Connection
2024-05-04 04:36:58,Battery Voltage = 3.29V
2024-05-04 04:36:59,No Connection
2024-05-04 04:36:59,Battery Voltage = 3.28V
2024-05-04 04:36:59,No Connection
2024-05-04 04:36:59,Battery Voltage = 3.30V
2024-05-04 04:37:00,No Connection
2024-05-04 04:37:00,Battery Voltage = 3.31V
2024-05-04 04:37:00,No Connection
2024-05-04 04:37:00,Battery Voltage = 3.28V
2024-05-04 04:37:01,No Connection
2024-05-04 04:37:01,Battery Voltage = 3.28V
2024-05-04 04:37:01,No Connection
2024-05-04 04:37:01,Battery Voltage = 3.28V
2024-05-04 04:37:02,No Connection
2024-05-04 04:37:02,Battery Voltage = 3.29V
2024-05-04 04:37:02,No Connection
2024-05-04 04:37:02,Battery Voltage = 3.27V
2024-05-04 04:37:03,No Connection
2024-05-04 04:37:03,Battery Voltage = 3.29V
2024-05-04 04:37:03,No Connection
2024-05-04 04:37:03,Battery Voltage = 3.27V
2024-05-04 04:37:04,No Connection
2024-05-04 04:37:04,Battery Voltage = 3.28V
2024-05-04 04:37:04,No Connection
2024-05-04 04:37:04,Battery Voltage = 3.29V
2024-05-04 04:37:05,No Connection
2024-05-04 04:37:05,Battery Voltage = 3.29V
2024-05-04 04:37:05,No Connection
2024-05-04 04:37:05,Battery Voltage = 3.29V
2024-05-04 04:37:06,No Connection
2024-05-04 04:37:06,Battery Voltage = 3.29V
2024-05-04 04:37:06,No Connection
2024-05-04 04:37:06,Battery Voltage = 3.29V
2024-05-04 04:37:07,No Connection
2024-05-04 04:37:07,Battery Voltage = 3.30V
2024-05-04 04:37:07,No Connection
2024-05-04 04:37:07,Battery Voltage = 3.29V
2024-05-04 04:37:08,No Connection
2024-05-04 04:37:08,Battery Voltage = 3.30V
2024-05-04 04:37:08,No Connection
2024-05-04 04:37:08,Battery Voltage = 3.29V
2024-05-04 04:37:09,No Connection
2024-05-04 04:37:09,Battery Voltage = 3.29V
2024-05-04 04:37:09,No Connection
2024-05-04 04:37:09,Battery Voltage = 3.29V
2024-05-04 04:37:09,No Connection
2024-05-04 04:37:09,Battery Voltage = 3.30V
2024-05-04 04:37:10,No Connection
2024-05-04 04:37:10,Battery Voltage = 3.34V
2024-05-04 04:37:10,No Connection
2024-05-04 04:37:10,Battery Voltage = 3.29V
2024-05-04 04:37:11,No Connection
2024-05-04 04:37:11,Battery Voltage = 3.32V
2024-05-04 04:37:11,No Connection
2024-05-04 04:37:11,Battery Voltage = 3.30V
2024-05-04 04:37:12,No Connection
2024-05-04 04:37:12,Battery Voltage = 3.30V
2024-05-04 04:37:12,No Connection
2024-05-04 04:37:12,Battery Voltage = 3.29V
2024-05-04 04:37:13,No Connection
2024-05-04 04:37:13,Battery Voltage = 3.27V
2024-05-04 04:37:13,No Connection
2024-05-04 04:37:13,Battery Voltage = 3.28V
2024-05-04 04:37:14,No Connection
2024-05-04 04:37:14,Battery Voltage = 3.28V
2024-05-04 04:37:14,No Connection
2024-05-04 04:37:14,Battery Voltage = 3.25V
2024-05-04 04:37:15,No Connection
2024-05-04 04:37:15,Battery Voltage = 3.27V
2024-05-04 04:37:15,No Connection
2024-05-04 04:37:15,Battery Voltage = 3.28V
2024-05-04 04:37:16,No Connection
2024-05-04 04:37:16,Battery Voltage = 3.28V
2024-05-04 04:37:16,No Connection
2024-05-04 04:37:16,Battery Voltage = 3.29V
2024-05-04 04:37:17,No Connection
2024-05-04 04:37:17,Battery Voltage = 3.28V
2024-05-04 04:37:17,No Connection
2024-05-04 04:37:17,Battery Voltage = 3.30V
2024-05-04 04:37:18,No Connection
2024-05-04 04:37:18,Battery Voltage = 3.29V
2024-05-04 04:37:18,No Connection
2024-05-04 04:37:18,Battery Voltage = 3.29V
2024-05-04 04:37:19,No Connection
2024-05-04 04:37:19,Battery Voltage = 3.29V
2024-05-04 04:37:19,No Connection
2024-05-04 04:37:19,Battery Voltage = 3.29V
2024-05-04 04:37:20,No Connection
2024-05-04 04:37:20,Battery Voltage = 3.28V
2024-05-04 04:37:20,No Connection
2024-05-04 04:37:20,Battery Voltage = 3.28V
2024-05-04 04:37:21,No Connection
2024-05-04 04:37:21,Battery Voltage = 3.27V
2024-05-04 04:37:21,No Connection
2024-05-04 04:37:21,Battery Voltage = 3.29V
2024-05-04 04:37:21,No Connection
2024-05-04 04:37:21,Battery Voltage = 3.30V
2024-05-04 04:37:22,No Connection
2024-05-04 04:37:22,Battery Voltage = 3.28V
2024-05-04 04:37:22,No Connection
2024-05-04 04:37:22,Battery Voltage = 3.29V
2024-05-04 04:37:23,No Connection
2024-05-04 04:37:23,Battery Voltage = 3.30V
2024-05-04 04:37:23,No Connection
2024-05-04 04:37:23,Battery Voltage = 3.28V
2024-05-04 04:37:24,No Connection
2024-05-04 04:37:24,Battery Voltage = 3.29V
2024-05-04 04:37:24,No Connection
2024-05-04 04:37:24,Battery Voltage = 3.30V
2024-05-04 04:37:25,No Connection
2024-05-04 04:37:25,Battery Voltage = 3.28V
2024-05-04 04:37:25,No Connection
2024-05-04 04:37:25,Battery Voltage = 3.28V
2024-05-04 04:37:26,No Connection
2024-05-04 04:37:26,Battery Voltage = 3.30V
2024-05-04 04:37:26,No Connection
2024-05-04 04:37:26,Battery Voltage = 3.29V
2024-05-04 04:37:27,No Connection
2024-05-04 04:37:27,Battery Voltage = 3.27V
2024-05-04 04:37:27,No Connection
2024-05-04 04:37:27,Battery Voltage = 3.28V
2024-05-04 04:37:27,No Connection
2024-05-04 04:37:27,Battery Voltage = 3.28V
2024-05-04 04:37:28,No Connection
2024-05-04 04:37:28,Battery Voltage = 3.28V
2024-05-04 04:37:28,No Connection
2024-05-04 04:37:28,Battery Voltage = 3.28V
2024-05-04 04:37:29,No Connection
2024-05-04 04:37:29,Battery Voltage = 3.29V
2024-05-04 04:37:29,No Connection
2024-05-04 04:37:29,Battery Voltage = 3.30V
2024-05-04 04:37:30,No Connection
2024-05-04 04:37:30,Battery Voltage = 3.30V
2024-05-04 04:37:30,No Connection
2024-05-04 04:37:30,Battery Voltage = 3.28V
2024-05-04 04:37:31,No Connection
2024-05-04 04:37:31,Battery Voltage = 3.29V
2024-05-04 04:37:31,No Connection
2024-05-04 04:37:31,Battery Voltage = 3.31V
2024-05-04 04:37:31,No Connection
2024-05-04 04:37:31,Battery Voltage = 3.29V
2024-05-04 04:37:32,No Connection
2024-05-04 04:37:32,Battery Voltage = 3.33V
2024-05-04 04:37:32,No Connection
2024-05-04 04:37:32,Battery Voltage = 3.32V
2024-05-04 04:37:33,No Connection
2024-05-04 04:37:33,Battery Voltage = 3.30V
2024-05-04 04:37:33,No Connection
2024-05-04 04:37:33,Battery Voltage = 3.29V
2024-05-04 04:37:34,No Connection
2024-05-04 04:37:34,Battery Voltage = 3.30V
2024-05-04 04:37:34,No Connection
2024-05-04 04:37:34,Battery Voltage = 3.29V
2024-05-04 04:37:35,No Connection
2024-05-04 04:37:35,Battery Voltage = 3.31V
2024-05-04 04:37:35,No Connection
2024-05-04 04:37:35,Battery Voltage = 3.30V
2024-05-04 04:37:36,No Connection
2024-05-04 04:37:36,Battery Voltage = 3.32V
2024-05-04 04:37:36,No Connection
2024-05-04 04:37:36,Battery Voltage = 3.30V
2024-05-04 04:37:36,No Connection
2024-05-04 04:37:36,Battery Voltage = 3.30V
2024-05-04 04:37:37,No Connection
2024-05-04 04:37:37,Battery Voltage = 3.29V
2024-05-04 04:37:37,No Connection
2024-05-04 04:37:37,Battery Voltage = 3.30V
2024-05-04 04:37:38,No Connection
2024-05-04 04:37:38,Battery Voltage = 3.30V
2024-05-04 04:37:38,No Connection
2024-05-04 04:37:38,Battery Voltage = 3.28V
2024-05-04 04:37:39,No Connection
2024-05-04 04:37:39,Battery Voltage = 3.30V
2024-05-04 04:37:39,No Connection
2024-05-04 04:37:39,Battery Voltage = 3.31V
2024-05-04 04:37:40,No Connection
2024-05-04 04:37:40,Battery Voltage = 3.30V
2024-05-04 04:37:40,No Connection
2024-05-04 04:37:40,Battery Voltage = 3.29V
2024-05-04 04:37:40,No Connection
2024-05-04 04:37:40,Battery Voltage = 3.30V
2024-05-04 04:37:41,No Connection
2024-05-04 04:37:41,Battery Voltage = 3.30V
2024-05-04 04:37:41,No Connection
2024-05-04 04:37:41,Battery Voltage = 3.30V
2024-05-04 04:37:42,No Connection
2024-05-04 04:37:42,Battery Voltage = 3.30V
2024-05-04 04:37:42,No Connection
2024-05-04 04:37:42,Battery Voltage = 3.31V
2024-05-04 04:37:43,No Connection
2024-05-04 04:37:43,Battery Voltage = 3.30V
2024-05-04 04:37:43,No Connection
2024-05-04 04:37:43,Battery Voltage = 3.30V
2024-05-04 04:37:44,No Connection
2024-05-04 04:37:44,Battery Voltage = 3.30V
2024-05-04 04:37:44,No Connection
2024-05-04 04:37:44,Battery Voltage = 3.30V
2024-05-04 04:37:45,No Connection
2024-05-04 04:37:45,Battery Voltage = 3.31V
2024-05-04 04:37:45,No Connection
2024-05-04 04:37:45,Battery Voltage = 3.28V
2024-05-04 04:37:46,No Connection
2024-05-04 04:37:46,Battery Voltage = 3.28V
2024-05-04 04:37:46,No Connection
2024-05-04 04:37:46,Battery Voltage = 3.30V
2024-05-04 04:37:47,No Connection
2024-05-04 04:37:47,Battery Voltage = 3.31V
2024-05-04 04:37:47,No Connection
2024-05-04 04:37:47,Battery Voltage = 3.27V
2024-05-04 04:37:48,No Connection
2024-05-04 04:37:48,Battery Voltage = 3.30V
2024-05-04 04:37:48,No Connection
2024-05-04 04:37:48,Battery Voltage = 3.28V
2024-05-04 04:37:49,No Connection
2024-05-04 04:37:49,Battery Voltage = 3.28V
2024-05-04 04:37:49,No Connection
2024-05-04 04:37:49,Battery Voltage = 3.29V
2024-05-04 04:37:50,No Connection
2024-05-04 04:37:50,Battery Voltage = 3.29V
2024-05-04 04:37:50,No Connection
2024-05-04 04:37:50,Battery Voltage = 3.29V
2024-05-04 04:37:51,No Connection
2024-05-04 04:37:51,Battery Voltage = 3.30V
2024-05-04 04:37:51,No Connection
2024-05-04 04:37:51,Battery Voltage = 3.29V
2024-05-04 04:37:52,No Connection
2024-05-04 04:37:52,Battery Voltage = 3.30V
2024-05-04 04:37:52,No Connection
